,c1,c2
22631,372684.0,0.003211243616766626
193,350246.0,0.0033740427362052828
11471,361524.0,0.0034110116396043593
21263,371316.0,0.0034513511079439616
23784,373837.0,0.003463337450092536
18842,368895.0,0.0034997459413495446
18109,368162.0,0.003508871230267101
21956,372009.0,0.0035138099587734787
1912,351965.0,0.0035239431326332528
20330,370383.0,0.003554377549946236
2558,352611.0,0.0035850488511413228
5621,355674.0,0.0035917415093589212
15496,365549.0,0.0036236848281417434
10881,360934.0,0.00366629701184786
9082,359135.0,0.0036940522077562876
15480,365533.0,0.0037163942839686824
23797,373850.0,0.003716622519590225
2890,352943.0,0.0037210495932111422
16093,366146.0,0.0037350478702097146
5988,356041.0,0.003777082125961214
24825,374878.0,0.0037787040399099446
15626,365679.0,0.0037885711268640107
2086,352139.0,0.0037962328569333876
1713,351766.0,0.0037978006817148717
13365,363418.0,0.0038113271517875103
4480,354533.0,0.00381247833964606
21592,371645.0,0.00383510771193932
190,350243.0,0.003874923791149676
10953,361006.0,0.0038868240733185523
5119,355172.0,0.0038871763305881432
124,350177.0,0.0038983984615652786
20089,370142.0,0.003913793604761179
7693,357746.0,0.003916321257572373
8084,358137.0,0.003917538126638179
21264,371317.0,0.0039354552620032655
14148,364201.0,0.003943077633126937
7848,357901.0,0.003967665182638137
16863,366916.0,0.003970804749557612
3303,353356.0,0.003980978714489721
49,350102.0,0.003983973686421539
3708,353761.0,0.0039925886750670605
14858,364911.0,0.003997285503912816
14718,364771.0,0.003997655797977849
19117,369170.0,0.0040001962293509
2760,352813.0,0.004011275275391211
7134,357187.0,0.00401315193689113
16917,366970.0,0.004018810430995257
13532,363585.0,0.00402508486611028
15491,365544.0,0.004034602010370494
11639,361692.0,0.004058728854656862
13648,363701.0,0.004064817446404618
22550,372603.0,0.004070191003316226
22263,372316.0,0.004097595687274421
14677,364730.0,0.004105983416298062
18797,368850.0,0.0041114637469618735
11077,361130.0,0.004148269372072852
17829,367882.0,0.004157950734046676
16751,366804.0,0.004174452070605927
22476,372529.0,0.004176545094856149
10643,360696.0,0.00417926741270753
2469,352522.0,0.004228954822293762
18603,368656.0,0.0042427762280365005
11641,361694.0,0.00424352432028444
5745,355798.0,0.0042456742274886985
11521,361574.0,0.004249539853108244
99,350152.0,0.004251704482633913
24172,374225.0,0.004270812262339415
22292,372345.0,0.0042834842634901175
22056,372109.0,0.004283619189855592
17745,367798.0,0.004293751874020385
9695,359748.0,0.00432077822975894
9074,359127.0,0.004322500910527881
11180,361233.0,0.004324482567442917
16994,367047.0,0.004325194059515759
4573,354626.0,0.004325282917405561
15268,365321.0,0.004359189401145802
16449,366502.0,0.004360997441411593
7885,357938.0,0.004362416771595869
8922,358975.0,0.00436459160842175
7674,357727.0,0.004399852715677324
11214,361267.0,0.004408495311825148
12011,362064.0,0.004427689294278492
3366,353419.0,0.004432426105302463
12104,362157.0,0.004438730125306496
15151,365204.0,0.004440400485982484
181,350234.0,0.004448008923345869
10806,360859.0,0.004450223973303913
21427,371480.0,0.004450812884253951
7248,357301.0,0.0044549092364668304
1954,352007.0,0.004456492610713516
16408,366461.0,0.004480709394237408
19641,369694.0,0.004481747571705491
8997,359050.0,0.004486329153275746
2046,352099.0,0.004486520207171435
5462,355515.0,0.0044946167451895445
21813,371866.0,0.004495076905491748
20852,370905.0,0.004499453517715344
12085,362138.0,0.004500845044433124
14328,364381.0,0.004503545813820015
19174,369227.0,0.004507556197332665
2692,352745.0,0.004513608319317301
8882,358935.0,0.00451481811409969
2841,352894.0,0.004516710838651751
4920,354973.0,0.004523464889862623
13520,363573.0,0.004524569120526094
10990,361043.0,0.004533262656324063
17351,367404.0,0.004540729823002562
8022,358075.0,0.0045501045465257605
